Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Mobile Notary - General - LA,,Enabled,$83.35,41,10.05%
Apostille – Rush & Philippines (mobileamericannotary.com),,Enabled,$25.34,4,2.37%
