source_url,target_url,status,preserve_query_string,subpath_matching,include_subdomains
https://www.mobileamericannotary.com/services/apostille/federal-fbi-background-check.html,https://www.mobileamericannotary.com/services/apostille/federal-documents/fbi-background-check.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/federal-birth-abroad.html,https://www.mobileamericannotary.com/services/apostille/federal-documents/birth-abroad.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/federal-death-abroad.html,https://www.mobileamericannotary.com/services/apostille/federal-documents/death-abroad.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/federal-nara-documents.html,https://www.mobileamericannotary.com/services/apostille/federal-documents/nara-documents.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/vital-birth.html,https://www.mobileamericannotary.com/services/apostille/vital-records/birth.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/vital-death.html,https://www.mobileamericannotary.com/services/apostille/vital-records/death.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/vital-marriage.html,https://www.mobileamericannotary.com/services/apostille/vital-records/marriage.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/vital-birth-certificate.html,https://www.mobileamericannotary.com/services/apostille/vital-records/birth.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/court-adoption.html,https://www.mobileamericannotary.com/services/apostille/court-documents/adoption.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/court-divorce-decree.html,https://www.mobileamericannotary.com/services/apostille/court-documents/divorce-decree.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/court-marriage.html,https://www.mobileamericannotary.com/services/apostille/court-documents.html,301,true,false,false
https://www.mobileamericannotary.com/services/apostille/same-day-los-angeles.html,https://www.mobileamericannotary.com/services/apostille.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-jail.html,https://www.mobileamericannotary.com/services/notary/jail.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-real-estate.html,https://www.mobileamericannotary.com/services/notary/real-estate.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-estate-planning.html,https://www.mobileamericannotary.com/services/notary/estate-planning.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital.html,https://www.mobileamericannotary.com/services/notary/hospital.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/beverly-grove-cedars-sinai.html,https://www.mobileamericannotary.com/services/notary/hospital/beverly-grove-cedars-sinai.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/boyle-heights-keck-usc.html,https://www.mobileamericannotary.com/services/notary/hospital/boyle-heights-keck-usc.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/burbank-providence-saint-joseph.html,https://www.mobileamericannotary.com/services/notary/hospital/burbank-providence-saint-joseph.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/east-hollywood-presbyterian.html,https://www.mobileamericannotary.com/services/notary/hospital/east-hollywood-presbyterian.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/encino-hospital-medical-center.html,https://www.mobileamericannotary.com/services/notary/hospital/encino-hospital-medical-center.html,301,true,false,false
https://www.mobileamericannotary.com/services/notary-hospital/hollywood-kaiser.html,https://www.mobileamericannotary.com/services/notary/hospital/hollywood-kaiser.html,301,true,false,false
